	老医生立遗嘱将财产留给救过自己的朋友	一半法国人不愿接种新冠疫苗	金晨拒绝陈一鸣	于朦胧练舞好像做颈椎复健操	有翡还原度	王一博好会哭	QQ或推出已读功能	明道工作室回应	安徽发现一批次国产鸡腿外包装阳性	糖水燕窝曝光者隐私遭辛选泄露	向太晒向佐郭碧婷豪宅内景	于正否认有儿子	王小岚否认自己是视频中的女生	明星大侦探演唱会阵容	国台办称绝不为台独分裂活动留空间	苹果计划将iPhone产量提升30％	兔子搓脸脸有多可爱	哥老官 兽药	胡一天乔欣亲出声	朱星杰承认与王岚恋情	我国超一半人感染幽门螺杆菌	金晨 不喜欢就是不喜欢	哈尔滨男子晨跑眉毛挂霜变鳌拜	王岚称另有男友	朴彩英给金智秀送咖啡车应援	国产千元机遭海外疯抢	港府官员宣誓效忠香港特区	尼格买提父母爱情太好哭了	核酸检测阳性旅客达5个暂停该航线2周	何炅为了张杰的票戒酒7天	QQ 怎么还当真了	奚梦瑶 烫头是冬天的仪式感	东北虎也扛不住哈尔滨的冷	唐艺昕圣诞热红酒vlog	能让羽绒服冬天滞销的城市	张云雷煮泡面的锅坏了	杨幂反派气场	韩国小朋友的汉语考试	huanfeng道歉	不奉陪	上万枚冷冻胚胎十年无人问津
71	0	0	0	0	565207	509066	526566	0	608680	466328	463806	512603	572611	0	0	0	773599	850576	690793	2176769	862550	2683520	576581	712237	514245	515677	754583	659151	2242545	1833253	743652	574097	0	0	0	0	0	0	0	0	0
72	0	0	0	0	559435	503564	517109	0	589693	469108	455001	506124	565776	0	0	0	767707	845238	679577	2167812	860505	2661996	568186	760955	506999	507612	774777	650258	2179319	1965944	808842	566446	0	0	0	0	0	0	0	0	0
73	0	0	0	0	567071	507237	510503	0	709079	471259	451291	507364	643550	0	0	0	781156	856034	740160	2179662	878956	2694417	686137	762375	507426	507530	808353	644269	2185488	2091935	894213	720401	0	0	0	0	0	0	0	0	0
74	0	0	0	0	561769	420777	502579	0	685371	420898	0	431612	433123	0	0	0	779768	853101	720927	2180300	884076	2683655	663695	757681	630272	428902	814471	646980	2430966	2238416	978685	733299	433448	0	0	0	0	0	0	0	0
75	0	0	0	0	563142	442287	496999	0	679802	439923	438303	447591	449155	0	0	0	777425	849842	705518	2182036	895733	2701908	665800	734281	619932	0	812521	643143	2436450	2370421	1365620	760614	450986	0	0	0	0	0	0	0	0
76	0	0	432356	0	563794	444342	488782	0	666621	440014	0	451411	463137	0	0	0	768889	847925	701093	2167523	876670	2664841	636860	741606	606508	0	792965	623662	2484972	2476286	1458994	758010	468544	0	0	0	0	0	0	0	0
77	0	0	436162	0	566287	464119	483100	0	667082	445777	0	464708	477883	0	0	0	762637	853909	705179	2146493	868272	2668812	650015	731622	596422	0	797277	598424	2585720	2582910	1545549	756054	485212	445639	0	0	0	0	0	0	0
78	0	0	0	0	568943	474342	475282	0	650927	473513	0	474645	475090	0	0	0	753257	865913	686386	726794	864052	2685309	621637	705890	589232	0	765612	606405	2685855	2686509	1650899	2175082	503127	473487	0	0	0	0	0	0	0
79	0	0	446189	0	570350	520749	555594	0	656955	0	0	545302	546858	0	0	0	743524	877012	673600	740088	857784	2697805	620579	699347	588008	0	773005	597491	2711940	2772104	1745618	2258506	547424	498187	0	0	0	0	0	0	0
80	0	0	448270	0	572835	523346	566491	0	689814	0	0	544749	562568	0	0	0	725885	894407	696752	724348	855038	2683421	673931	703970	563203	0	785664	664604	2724457	2887600	1828725	2348984	563279	657906	422472	0	0	0	0	0	0
81	0	0	448574	0	574508	523816	557332	0	701277	0	0	549634	551720	0	0	0	720552	914061	707713	716859	851777	2557255	699297	714078	553502	0	771814	693405	2742713	2938741	1889747	2425937	553580	691179	0	0	0	0	0	0	0
82	0	0	0	0	576734	527233	566730	0	1083792	0	0	552290	543079	0	0	0	1753583	1953749	1085894	1667508	1924324	2451839	1083782	1655450	555501	0	1838874	1083772	2671152	3084096	1996410	2301492	558523	732233	462224	0	0	0	0	0	0
83	0	0	436351	0	571530	523133	564427	0	1061295	0	0	550367	530360	0	0	0	1965598	2041851	1067095	1952582	2004301	2311727	1059239	1585771	555283	0	1977137	1058747	2540066	3175639	2044085	2246286	557808	760601	480088	0	0	0	0	0	0
84	0	0	438265	0	578918	526894	565298	0	1046751	0	0	554250	519576	0	0	0	1975417	2124014	1055507	1929870	2077899	2237119	1045302	1587935	561904	0	2031819	1044090	2667562	3315139	2153050	2221019	562275	834382	507092	0	0	0	0	0	0
85	0	0	0	0	584794	532334	560424	0	1031277	0	0	554767	511556	0	0	0	1966739	2203673	1043310	1907386	2103104	2789111	1024206	1573443	556302	0	2008528	1021483	2811131	3419238	2222344	2782021	557123	871331	532384	0	0	0	0	0	0
86	0	0	0	0	587245	532942	556597	0	1016727	0	0	542303	0	0	0	0	1949304	2216532	1039950	1891163	2198107	2892978	1002672	1554773	549999	0	2053953	1000632	2909636	3514399	2303749	2892369	545716	896142	552547	548092	0	0	0	0	0
87	0	0	0	0	590739	535567	574195	0	993801	0	0	554879	0	0	0	0	1965830	2360332	1055431	1893451	2264385	3014084	988332	1573200	562320	0	2116966	984489	3224333	3603417	2401162	3007375	542457	919779	569661	563840	0	0	0	0	0
88	0	0	0	0	589837	533795	585934	0	1009940	0	0	550824	0	0	0	0	1977616	2414518	1073025	1872336	2211203	3126450	984179	1558805	579464	0	2098479	966309	3170610	3689186	2486223	3105605	538306	938975	585654	582708	507113	0	0	0	0
89	0	0	0	0	593532	533887	562518	0	1010514	0	0	549088	0	0	0	0	1911319	2550620	1095563	1864188	2237280	3239496	987524	1557897	561641	0	2076416	951086	3462180	3795831	2568262	3210827	566325	965211	601180	565035	0	0	0	0	0
90	0	0	0	0	593474	533413	0	0	1028113	0	0	541660	0	0	0	0	1936451	2500027	1112316	1856737	2275667	3342760	1005448	1550799	543004	0	2220467	941869	3407176	3892032	2653707	3317136	566328	997335	598999	558520	547572	0	0	0	0
91	0	0	0	0	590935	530786	0	0	1049740	531632	0	533312	0	0	0	0	1983508	2625813	1105109	1856173	2325284	3370628	1041227	1536369	0	0	2241237	929170	3381941	3777302	2714698	3366182	539493	1033303	618085	538914	537059	0	0	0	0
92	0	0	0	0	593905	533950	0	0	1071109	531873	0	531707	0	0	0	0	1907849	2617589	1102347	3430169	2465751	1829188	1063492	1580184	0	0	2224537	922999	3547941	3776015	2757701	3398744	543631	1061370	641892	541859	540405	0	0	0	0
93	0	0	0	0	589125	534716	0	0	1089162	526315	0	522913	0	0	0	0	1915287	2599278	1090585	3416592	2332669	1802433	1089068	1564929	0	0	2120568	907122	3500136	3759227	2770663	3408086	543454	1089028	667888	543221	543153	0	0	0	0
94	0	0	0	0	584829	531806	0	0	1089926	519455	0	516078	0	0	0	0	2011763	2718411	1082714	3327791	2522282	1767070	1084842	1546540	0	0	2067829	895787	3406458	3725244	2781124	3327106	540867	1113858	692076	538302	538255	0	0	0	0
95	0	0	0	0	574326	524221	0	0	1073288	507405	0	502579	0	0	0	0	1921649	2654945	1061151	3214735	2435438	1716421	1064071	1495172	0	0	2210928	881774	3410037	3637940	2721585	3197219	530763	1087667	708919	527545	526367	0	0	0	0
96	0	0	0	0	566479	520987	0	0	1048999	503588	0	494599	0	0	0	0	1796917	2634351	1041927	3180984	2239238	1645016	1042971	1446144	480213	0	2015483	867114	3239524	3617989	2685898	3130724	526529	1064368	722017	526420	525904	0	0	0	0
97	0	0	0	0	560186	518428	522269	0	1027936	520178	0	0	0	0	0	0	1758172	2529430	1018733	3124570	2315795	1600779	1023141	1403032	0	0	2035144	854025	3149199	3597283	2658144	3107574	526500	1053846	734388	525441	524204	0	0	0	0
98	0	0	0	0	741974	516848	742959	0	1002242	517458	0	475320	0	0	0	0	1767355	2576060	994102	3140067	2312302	1559762	994645	1364914	0	0	2058049	841280	3255439	3568883	2636224	3089885	524699	1043518	746303	741285	654258	509627	0	0	0
